model_name,gpu_type,input_tokens,output_tokens,qps,best_of,use_beam_search,num_prompts,mean_latency,p50_latency,p90_latency,p95_latency,p99_latency,p100_latency
mistralai/Mistral-7B-v0.1,4xA4000,256,128,1.0,1,False,50,2.108120973475743,2.097541276481934,2.2855198954348452,2.295094873540802,2.3059571208734995,2.3087849059375003
mistralai/Mistral-7B-v0.1,4xA4000,256,256,1.0,1,False,50,4.609148791511543,4.604729033482727,4.98306542643113,5.001419093174627,5.033867708456237,5.053764280979522
mistralai/Mistral-7B-v0.1,4xA4000,512,128,1.0,1,False,50,2.3256569327553733,2.331336575502064,2.538877992075868,2.5888706162164454,2.6214321077265774,2.6295534759992734
mistralai/Mistral-7B-v0.1,4xA4000,512,256,1.0,1,False,50,4.910409421955701,4.928583628963679,5.28956435158616,5.403558392316336,5.437301760683767,5.456206876086071
mistralai/Mistral-7B-v0.1,4xA4000,256,128,2.0,1,False,50,2.3784806267218666,2.38930675300071,2.5725638144649565,2.6250360779755284,2.6502138427249156,2.6661110230488703
mistralai/Mistral-7B-v0.1,4xA4000,256,256,2.0,1,False,50,5.447471562095452,5.486851965542883,5.742355382826645,5.780559862643713,5.851451792572625,5.8771415669471025
mistralai/Mistral-7B-v0.1,4xA4000,512,128,2.0,1,False,50,2.8869631132949145,2.8474916320410557,3.412116995092947,3.5110240291047377,3.5805994581698903,3.602965591941029
mistralai/Mistral-7B-v0.1,4xA4000,512,256,2.0,1,False,50,6.151025641972665,6.045712517516222,6.975599145132582,7.086780685937265,7.230649840367259,7.268638306064531
mistralai/Mistral-7B-v0.1,4xA4000,256,128,3.0,1,False,50,2.6403494890104047,2.624726527486928,2.8819999730680137,2.9274066209502054,2.954242212624522,2.9697902869665995
mistralai/Mistral-7B-v0.1,4xA4000,256,256,3.0,1,False,50,6.206923387225252,6.0528855145093985,6.851038926816545,6.904649179475382,6.930409409928834,6.942013465915807
mistralai/Mistral-7B-v0.1,4xA4000,512,128,3.0,1,False,50,3.4018289058399387,3.333078950527124,4.046407984592952,4.141895979613764,4.353701581596397,4.356985912891105
